obs,gnut,male,land,labor,seed,agrochem,usehirlab,imprseed,earlypln,latepln,soil3,extens,socnet,farmtyp3,farmtyp2,dist1,dist2
693,3.583518982,0,-1.609437943,4.130901337,1.945910096,0,0,0,0,0,1,0,0,0,0,1,0
785,3.583518982,0,-1.609437943,3.943017721,1.386294365,0,0,0,1,0,1,0,1,1,0,1,0
14,4.969813347,0,-1.609437943,3.67091918,2.995732307,7.643722534,1,0,1,0,0,0,1,1,0,1,0
47,3.988984108,0,-1.609437943,4.511386871,1.098612309,0,0,0,0,1,1,0,1,1,0,0,0
301,5.087596416,0,-1.609437943,3.82972765,1.609437943,0,0,0,1,0,0,0,0,0,0,1,0
648,4.499809742,0,-1.609437943,3.627801657,1.791759491,0,1,0,1,0,1,0,1,1,0,0,1
110,2.484906673,0,-1.609437943,4.230651379,3.80666256,9.577757835,1,1,0,0,1,0,1,1,0,0,1
1575,4.68213129,1,-1.609437943,3.467328548,2.484906673,0,0,1,1,0,0,1,1,1,0,0,1
103,4.394449234,0,-1.609437943,3.086121321,2.302585125,0,0,0,1,0,1,1,1,1,0,1,0
100,5.087596416,0,-1.609437943,3.992846966,1.791759491,0,1,0,1,0,1,0,0,0,0,1,0
200,4.836281776,0,-1.609437943,3.427124977,2.302585125,8.646310806,1,1,0,1,0,0,1,1,0,0,0
1482,4.094344616,1,-1.609437943,4.151811123,2.302585125,0,0,1,1,0,0,0,0,0,1,0,1
477,4.836281776,0,-1.203972816,3.45990634,1.098612309,0,0,0,1,0,0,1,1,1,0,1,0
1001,5.087596416,1,-1.609437943,3.746346235,1.609437943,0,0,0,1,0,0,0,1,1,0,1,0
773,5.662960529,0,-1.609437943,3.616550684,1.791759491,0,0,0,1,0,0,1,1,0,0,1,0
1533,4.68213129,1,-1.609437943,4.411488533,2.484906673,0,1,1,0,0,0,1,1,1,0,0,0
671,4.276666164,0,-1.609437943,3.684218645,1.791759491,0,0,1,0,0,1,0,1,1,0,1,0
879,5.59842205,1,-1.609437943,3.676249981,1.791759491,0,0,0,0,0,0,1,1,1,0,1,0
386,5.703782558,0,-1.203972816,4.130065441,2.944438934,0,1,1,0,0,1,0,1,1,0,1,0
1012,6.34773922,1,-1.609437943,3.318902254,2.302585125,0,0,0,0,0,1,1,1,0,0,1,0
887,4.836281776,1,-1.609437943,3.461570978,1.609437943,9.392662048,1,1,0,1,1,0,0,0,1,1,0
1266,5.192956924,1,-1.203972816,3.934860229,0.693147182,8.436850548,0,1,0,0,1,1,1,1,0,0,0
1182,5.886104107,1,-1.609437943,3.803100586,2.995732307,0,1,0,0,0,0,0,1,0,0,1,0
1046,5.192956924,1,-1.609437943,3.444065332,2.708050251,0,0,0,0,0,0,1,0,0,0,0,1
947,4.143134594,1,-2.302585125,2.55676198,0.91629076,0,0,0,0,0,1,1,1,1,0,1,0
439,4.653960228,0,-2.302585125,3.701894522,0,0,0,1,0,0,0,0,1,0,1,0,0
738,5.192956924,0,-1.609437943,4.340344906,1.945910096,9.159047127,1,1,0,1,0,1,1,1,0,1,0
1675,5.192956924,1,-1.609437943,3.701894522,2.484906673,0,0,0,0,0,1,0,1,1,0,1,0
700,3.583518982,0,-1.609437943,2.822271347,1.609437943,0,0,0,1,0,0,1,1,1,0,1,0
1529,4.276666164,1,-1.609437943,3.555290937,2.484906673,0,0,0,1,0,1,0,1,1,0,1,0
170,3.583518982,0,-2.302585125,4.271151066,2.484906673,0,1,1,0,1,1,0,1,1,0,0,0
1545,4.68213129,1,-1.609437943,3.501223564,2.564949274,0,0,0,0,0,0,1,1,0,1,0,1
620,4.276666164,0,-1.609437943,3.58676362,1.098612309,0,0,0,1,0,1,0,0,1,0,1,0
1160,6.068425655,1,-1.609437943,3.697987795,2.890371799,0,0,1,1,0,0,0,0,0,0,1,0
213,4.653960228,0,-1.609437943,3.213541746,1.386294365,0,0,1,0,0,1,0,1,1,0,1,0
1143,5.529428959,1,-1.609437943,4.93671608,3.178053856,0,1,0,1,0,0,0,1,0,0,0,1
883,5.59842205,1,-1.609437943,4.947610378,2.708050251,0,1,1,0,0,0,0,1,0,1,0,0
709,5.59842205,0,-1.609437943,4.725970745,2.302585125,0,1,1,0,0,0,1,1,1,0,0,0
1116,5.192956924,1,-1.609437943,3.767852306,2.995732307,0,0,1,0,0,1,1,1,1,0,1,0
201,2.890371799,0,-1.609437943,3.114581347,1.791759491,0,0,1,1,0,0,0,0,0,1,0,1
256,4.276666164,0,-1.609437943,3.003502131,2.079441547,0,0,1,0,0,0,1,1,1,0,1,0
1429,5.192956924,1,-1.609437943,4.451249599,2.995732307,0,1,1,0,0,1,0,1,1,0,0,1
1219,3.988984108,1,-2.525728703,3.175801277,1.098612309,0,0,0,0,0,1,0,1,0,0,1,0
1414,4.969813347,1,-1.609437943,4.238617897,2.890371799,0,0,1,0,1,0,0,1,0,1,0,0
300,5.886104107,0,-1.609437943,3.746346235,3.401197433,0,0,0,1,0,0,1,1,1,0,0,1
119,4.68213129,0,-1.609437943,4.135774612,1.945910096,0,1,1,0,0,0,1,1,1,0,0,0
367,4.68213129,0,-1.609437943,3.86894846,1.609437943,0,0,1,0,0,1,1,1,0,0,1,0
590,5.59842205,0,-1.609437943,3.546220779,2.995732307,0,0,1,0,0,0,0,1,1,0,0,1
254,4.499809742,0,-2.302585125,4.005331039,1.098612309,0,0,0,0,0,0,0,1,1,0,0,1
216,3.891820192,0,-2.302585125,2.772463799,1.098612309,0,0,1,0,0,1,0,0,1,0,1,0
1657,4.836281776,1,-1.609437943,3.443650007,1.609437943,0,0,1,0,0,0,0,1,1,0,0,1
176,4.499809742,0,-1.609437943,4.166169167,1.609437943,0,0,0,0,0,1,0,1,1,0,1,0
1245,5.192956924,1,-1.609437943,3.201851606,2.302585125,0,1,1,0,0,0,0,1,0,1,1,0
766,6.26339817,0,-1.203972816,4.205826283,2.995732307,0,0,0,1,0,1,0,0,0,0,1,0
1658,6.356107712,1,-1.609437943,3.609457254,3.401197433,0,0,1,0,0,0,0,0,0,0,0,0
327,5.087596416,0,-1.609437943,3.888549566,2.890371799,0,0,1,0,0,1,1,1,1,0,1,0
1360,4.499809742,1,-1.609437943,4.3118186,0.91629076,0,0,1,0,0,0,0,1,0,0,0,0
1568,4.68213129,1,-1.609437943,4.098701954,1.098612309,0,1,1,1,0,0,0,1,1,0,0,1
1287,6.34773922,1,-1.609437943,4.347176552,2.708050251,0,1,0,0,0,1,0,0,0,1,1,0
180,5.192956924,0,-1.609437943,3.397590876,2.197224617,0,1,0,0,0,0,0,1,1,0,1,0
1280,4.836281776,1,-1.609437943,3.272113323,2.302585125,0,0,1,1,0,0,0,0,0,1,0,1
65,3.583518982,0,-2.302585125,3.008747339,0.693147182,0,0,1,0,0,0,0,1,1,0,1,0
918,4.68213129,1,-1.203972816,3.655374289,2.995732307,0,0,0,0,0,1,0,0,0,1,1,0
1444,5.075173855,1,-1.609437943,3.737622023,1.791759491,0,0,1,0,0,0,1,1,0,0,0,1
1299,4.653960228,1,-1.609437943,3.543940306,2.302585125,0,0,1,1,0,0,1,1,1,0,0,1
985,5.010635376,1,-1.609437943,3.354455233,4.094344616,0,0,0,0,0,1,1,1,0,1,1,0
825,5.087596416,1,-2.302585125,3.225096464,2.484906673,0,0,0,0,0,0,0,0,0,0,1,0
756,4.499809742,0,-1.609437943,3.954220057,2.302585125,0,0,0,0,0,1,0,1,1,0,1,0
743,4.68213129,0,-1.609437943,3.2114079,3.401197433,0,0,1,0,0,0,0,1,1,0,0,0
1426,4.836281776,1,-1.609437943,3.701894522,2.484906673,0,0,0,0,0,0,1,0,1,0,0,1
398,4.276666164,0,-1.609437943,3.336836576,2.302585125,0,0,0,0,0,1,1,1,1,0,1,0
308,3.583518982,0,-2.302585125,2.718396425,2.302585125,0,0,0,0,0,1,0,0,1,0,1,0
505,4.248495102,0,-2.813410759,2.402611494,1.098612309,0,0,1,0,0,1,0,0,1,0,1,0
1002,3.988984108,1,-1.609437943,4.036539078,1.791759491,8.802371979,0,1,0,1,0,1,1,1,0,0,0
1401,5.780743599,1,-1.609437943,3.901406765,2.564949274,0,1,1,1,0,0,1,1,0,1,0,1
534,3.988984108,0,-1.609437943,2.718396425,1.791759491,0,0,0,0,0,1,0,1,1,0,1,0
71,4.276666164,0,-1.609437943,3.078969955,2.302585125,0,0,0,0,0,1,0,1,0,0,1,0
463,4.143134594,0,-1.609437943,3.576130629,1.791759491,0,0,1,0,0,1,0,1,1,0,0,1
232,3.891820192,0,-1.609437943,2.736508131,1.609437943,0,0,0,0,0,1,1,0,1,0,1,0
479,4.276666164,0,-1.609437943,3.095758677,2.302585125,0,0,0,0,0,0,0,1,0,1,1,0
701,3.583518982,0,-2.302585125,2.690225601,1.609437943,0,0,0,0,0,1,0,1,1,0,1,0
269,4.276666164,0,-2.302585125,3.249909163,2.484906673,0,0,1,0,0,0,0,0,0,0,0,0
397,5.332718849,0,-1.609437943,3.046900511,3.258096457,0,0,0,0,0,0,1,1,1,0,0,1
621,5.087596416,0,-1.139434338,5.333076477,2.564949274,0,0,1,1,0,0,0,1,0,1,0,0
448,5.529428959,0,-1.609437943,3.823454142,2.708050251,0,1,0,0,0,1,0,0,0,0,1,0
564,5.164785862,0,-1.609437943,3.006078482,1.098612309,0,0,0,1,0,0,0,1,1,0,0,1
1553,5.934894085,1,-1.609437943,4.012049198,1.791759491,0,0,0,0,0,0,1,0,0,1,0,1
459,4.836281776,0,-1.609437943,4.401854038,1.609437943,0,0,1,0,0,1,1,1,1,0,0,0
102,4.382026672,0,-2.302585125,3.626365662,1.945910096,0,0,1,0,0,1,0,1,1,0,1,0
1027,3.33220458,1,-2.302585125,2.55676198,2.302585125,0,0,0,1,0,0,0,0,0,1,0,1
1464,5.375278473,1,-1.203972816,3.978147745,2.484906673,0,0,1,0,0,0,1,1,0,1,0,0
734,4.68213129,0,-1.609437943,4.002485275,2.302585125,0,0,0,1,0,1,0,0,1,0,1,0
888,5.288267136,1,-1.27296567,4.094344616,1.791759491,0,1,1,1,0,0,0,0,0,1,0,1
1475,4.836281776,1,-1.609437943,3.383440733,2.995732307,0,0,1,0,0,0,1,0,1,0,1,0
838,4.836281776,1,-2.302585125,3.442403316,1.945910096,0,0,1,0,0,0,1,1,1,0,1,0
1103,5.59842205,1,-1.609437943,4.506189346,2.302585125,0,0,1,0,1,1,0,0,0,0,0,0
359,5.455321312,0,-1.609437943,3.65666604,2.484906673,0,0,1,1,0,1,0,1,0,0,0,1
651,4.68213129,0,-1.609437943,3.578338861,1.609437943,0,0,0,0,0,0,0,1,1,0,1,0
129,5.075173855,0,-1.609437943,3.565694332,1.945910096,0,0,1,0,0,1,1,0,0,0,0,0
499,4.276666164,0,-2.302585125,3.555290937,3.33220458,0,0,1,1,0,0,0,0,0,1,0,1
1410,4.499809742,1,-1.609437943,3.135494232,1.609437943,0,0,0,0,0,0,1,1,1,0,1,0
1663,4.499809742,1,-2.302585125,3.615125179,2.995732307,0,1,1,1,0,0,1,1,1,0,0,1
650,5.192956924,0,-1.609437943,3.331690073,3.178053856,0,1,1,0,0,0,0,1,0,0,0,0
890,5.192956924,1,-1.609437943,3.383440733,2.302585125,0,0,0,0,0,1,1,1,0,1,1,0
566,4.969813347,0,-1.609437943,3.160229206,2.302585125,0,0,0,1,0,1,1,1,1,0,1,0
457,4.990432739,0,-2.302585125,3.028054237,2.302585125,0,1,1,0,1,1,0,1,1,0,1,0
266,4.43081665,0,-1.609437943,3.403727531,1.945910096,0,0,0,0,0,1,0,0,1,0,1,0
1593,2.890371799,1,-1.609437943,2.739096642,0,0,0,0,0,0,1,1,0,0,0,1,0
644,4.276666164,0,-2.302585125,2.392974138,2.484906673,0,0,1,0,0,0,0,0,0,1,0,0
790,5.703782558,0,-1.609437943,3.86894846,2.302585125,0,0,1,0,0,1,0,1,1,0,0,1
1067,4.969813347,1,-1.609437943,3.942590952,1.791759491,0,1,0,0,0,0,0,1,0,0,0,1
